query,top tables,target table,target answer
tv channel in india for fifa world cup,List of Premier League broadcasters_3ACA2C1CA8B6093E,2018 FIFA World Cup broadcasting rights_EDBF8F23779A9BE9,Jio TV; AirTel TV; Sony Pictures Networks
tv channel in india for fifa world cup,List of UEFA Champions League broadcasters_DDBC9C540E1AF1B1,2018 FIFA World Cup broadcasting rights_EDBF8F23779A9BE9,Jio TV; AirTel TV; Sony Pictures Networks
tv channel in india for fifa world cup,Sky Sports_97EB4B70368A3C12,2018 FIFA World Cup broadcasting rights_EDBF8F23779A9BE9,Jio TV; AirTel TV; Sony Pictures Networks
tv channel in india for fifa world cup,List of Premier League broadcasters_97EB4B70368A3C12,2018 FIFA World Cup broadcasting rights_EDBF8F23779A9BE9,Jio TV; AirTel TV; Sony Pictures Networks
tv channel in india for fifa world cup,List of UEFA Champions League broadcasters_B7A4CFAFB7F5EF24,2018 FIFA World Cup broadcasting rights_EDBF8F23779A9BE9,Jio TV; AirTel TV; Sony Pictures Networks
tv channel in india for fifa world cup,List of UEFA Europa League broadcasters_2AFA6B0E9B0811B4,2018 FIFA World Cup broadcasting rights_EDBF8F23779A9BE9,Jio TV; AirTel TV; Sony Pictures Networks
tv channel in india for fifa world cup,2017 FIFA U-17 World Cup_37FCD65BB3D0A58D,2018 FIFA World Cup broadcasting rights_EDBF8F23779A9BE9,Jio TV; AirTel TV; Sony Pictures Networks
tv channel in india for fifa world cup,FIFA World Cup Trophy_396E1FA18BAD3B0A,2018 FIFA World Cup broadcasting rights_EDBF8F23779A9BE9,Jio TV; AirTel TV; Sony Pictures Networks
tv channel in india for fifa world cup,2017 FIFA U-17 World Cup_48A2AB7603461507,2018 FIFA World Cup broadcasting rights_EDBF8F23779A9BE9,Jio TV; AirTel TV; Sony Pictures Networks
tv channel in india for fifa world cup,Sky Sports_542C7BEB1D879D17,2018 FIFA World Cup broadcasting rights_EDBF8F23779A9BE9,Jio TV; AirTel TV; Sony Pictures Networks
tv channel in india for fifa world cup,Big Ten Network_542C7BEB1D879D17,2018 FIFA World Cup broadcasting rights_EDBF8F23779A9BE9,Jio TV; AirTel TV; Sony Pictures Networks
