query,top tables,target table,target answer
who starred in the film walk the line,The World's 50 Best Restaurants_5161713BCA6895B8,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,In the Heat of the Night (TV series)_917CCC454011E762,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Walk the Line_967E4B4594E63FD6,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,List of South Park cast members_A5D340039FBBEB4D,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Talented Mr. Ripley (film)_F4B00AD436D01D6A,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,List of countries with McDonald's restaurants_2682A293E04CB0CF,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,I Walk the Line_96725FC93F7AF834,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Accountant (2016 film)_6CD209E4A105E0B3,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Dear John (2010 film)_6CD209E4A105E0B3,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,When You Walk in the Room_389CE586367DD1C1,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,I Walk the Line_7BB0ACE1BC6E097B,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Only Daddy That'll Walk the Line_5DDBB41FFE8AB913,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Fat Duck_551E27095D0DD105,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Only Daddy That'll Walk the Line_8A0BB75AA54648B6,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,In the Jailhouse Now_96725FC93F7AF834,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,A Boy Named Sue_96725FC93F7AF834,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,It Ain't Me Babe_96725FC93F7AF834,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Highwaymen (country supergroup)_96725FC93F7AF834,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Sunday Mornin' Comin' Down_E55E60185EA27C6D,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,(Ghost) Riders in the Sky: A Cowboy Legend_96725FC93F7AF834,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Walk the Line_5670B8152899B57D,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,The Ones Who Walk Away from Omelas_77761B2C1D0C14BF,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,EastEnders_5C971D8562B32AAA,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Manchester by the Sea (film)_967E4B4594E63FD6,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
who starred in the film walk the line,Evita (1996 film)_86DE8723B3AA5F02,Walk the Line_EBA13CB7F4D68621,Joaquin Phoenix; Reese Witherspoon; Ginnifer Goodwin; Robert Patrick; Dallas Roberts
