query,top tables,target table,target answer
where was the last 10 summer olympic games held,List of people who have lit the Olympic cauldron_DDEAAAE6BDB3DCFB,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Muhammad Ali_FD41BC54E4DF2125,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Ice hockey by country_51EFB9EB88D9CB2A,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Basketball at the Summer Olympics_6B2D237681B649CB,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Timeline of the introduction of color television in countries_611C1EF511CE7138,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Cost of the Olympic Games_DD34F89992D49C6A,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Ice hockey by country_DD85100B231F1A51,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Cost of the Olympic Games_3EE09B8A57ABCD9B,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Football at the 2016 Summer Olympics – Women's tournament_52737A79A4B569EB,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Consejo Mundial de Lucha Libre_EEB64BBDFDD0F585,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Olympic Hymn_F558F843B3A5787,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Williams sisters_1CDF51D2EFF720B4,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
where was the last 10 summer olympic games held,Salt Lake City Stars_EBC27D8F4FDB29A8,List of Olympic Games host cities_A57C8BA9BE8AB379,Rio de Janeiro; London; Beijing; Athens; Sydney; Atlanta; Barcelona; Seoul; Los Angeles; Moscow
